isolate	aac(6')-aph(2'')	ant(6)-Ia	ant(6)-Ib	erm(B)	erm(G)	erm(Q)	erm(T)	lnu(P)	tet(44)	tetA(P)	tetB(P)
CQ40_scaffolds	0	0	0	0	0	1	0	0	0	1	1
CQ43_scaffolds	0	0	0	0	0	0	0	0	0	1	1
CQ44_scaffolds	0	0	0	0	0	1	0	0	0	1	1
CQ45_scaffolds	0	0	0	0	0	1	0	1	0	1	1
CQ46_scaffolds	0	0	0	0	0	1	0	0	0	1	1
CQ47_scaffolds	0	0	0	0	0	1	0	0	1	1	0
CQ48_scaffolds	0	0	0	0	0	0	0	0	0	1	1
CQ49_scaffolds	0	0	0	0	0	0	0	0	0	1	1
CQ4_scaffolds	0	0	0	0	0	1	0	0	0	1	1
CQ50_scaffolds	0	0	0	0	0	0	0	0	0	1	0
CQ51_scaffolds	0	0	0	0	0	1	0	0	0	1	1
CQ52_scaffolds	0	0	0	0	0	1	0	0	0	1	1
CQ54_scaffolds	0	0	0	0	0	0	0	0	0	1	1
CQ56_scaffolds	0	0	0	0	0	1	0	0	0	1	1
CQ57_scaffolds	0	0	0	0	0	1	0	1	0	1	1
CQ58_scaffolds	0	0	0	0	0	0	0	0	0	1	0
CQ61_scaffolds	0	0	0	0	0	1	0	0	0	0	1
CQ62_scaffolds	0	0	1	0	0	1	0	0	1	0	0
CQ63_scaffolds	0	0	0	0	0	1	0	0	0	0	1
CQ64_scaffolds	0	0	0	0	0	0	0	0	0	0	1
CQ66_scaffolds	0	0	0	0	0	1	0	0	0	0	1
CQ67_scaffolds	0	0	0	0	0	0	0	0	0	0	1
CQ68_scaffolds	0	0	0	0	0	0	0	1	0	0	1
CQ69_scaffolds	0	0	0	0	0	0	0	1	0	0	1
CQ70_scaffolds	0	0	0	0	0	1	0	1	0	0	1
CQ71_scaffolds	0	0	0	0	0	1	0	0	0	0	0
CQ72_scaffolds	0	0	0	0	0	1	0	0	0	0	1
CQ73_scaffolds	0	0	0	0	0	1	0	0	0	0	1
CQ74_scaffolds	0	0	0	0	0	1	0	0	0	0	1
CQ75_scaffolds	0	0	0	0	0	0	0	0	0	0	1
CQ76_scaffolds	0	0	0	0	0	0	0	0	0	0	1
CQ77_scaffolds	0	0	0	0	0	0	0	0	0	0	0
CQ78_scaffolds	0	0	0	0	0	1	0	1	0	0	1
CQ79_scaffolds	0	0	0	0	0	1	0	0	0	0	1
CQ7_scaffolds	0	0	0	0	0	0	0	0	0	0	1
CQ80_scaffolds	0	0	0	0	0	0	0	0	0	0	1
CQ84_scaffolds	0	0	0	0	0	1	0	0	0	0	1
CQ85_scaffolds	0	0	0	0	0	0	0	0	0	0	0
CQ86_scaffolds	0	0	0	0	0	1	0	0	0	0	1
CQ87_scaffolds	0	0	0	0	0	1	0	0	0	0	1
CQ88_scaffolds	0	0	0	0	0	0	0	0	0	0	1
CQ89_scaffolds	0	0	0	0	0	1	0	0	0	0	1
CQ90_scaffolds	0	0	0	0	0	0	0	0	0	0	1
CQ91_scaffolds	0	0	0	0	0	0	0	0	0	0	0
CQ92_scaffolds	0	0	0	0	0	1	0	0	0	0	0
CQ93_scaffolds	0	0	0	0	0	1	0	0	0	0	0
CQ94_scaffolds	0	0	0	0	0	1	0	1	0	0	0
CQ97_scaffolds	0	0	0	0	0	0	0	0	0	0	0
CQ98_scaffolds	0	0	0	0	0	0	0	0	0	0	0
CQ99_scaffolds	0	0	0	0	0	0	0	0	0	0	0
CQ9_scaffolds	0	0	0	0	0	0	0	0	0	0	0
